enchant-2	2.3.3-2build2
eog	45.3-1ubuntu2
espeak-ng-data:arm64	1.51+dfsg-12build1
ethtool	1:6.7-1build1
evince	46.3.1-0ubuntu1.1
evince-common	46.3.1-0ubuntu1.1
evolution-data-server	3.52.3-0ubuntu1.2
evolution-data-server-common	3.52.3-0ubuntu1.2
fdisk	2.39.3-9ubuntu6.5
feh	3.10.1-1ubuntu0.1
file	1:5.45-3build1
file-roller	44.3-0ubuntu2
findutils	4.9.0-5build1
firefox	1:1snap1-0ubuntu5
flash-kernel	3.107ubuntu13~24.04.2
flex	2.6.4-8.2build1
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-dejavu-core	2.37-8
fonts-dejavu-mono	2.37-8
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-liberation	1:2.1.5-3
fonts-liberation-sans-narrow	1:1.07.6-4
fonts-lyx	2.4.0~RC3-1build4
fonts-noto-cjk	1:20230817+repack1-3
fonts-noto-color-emoji	2.047-0ubuntu0.24.04.1
fonts-noto-core	20201225-2
fonts-noto-mono	20201225-2
fonts-opensymbol	4:102.12+LibO24.2.7-0ubuntu0.24.04.5
fonts-ubuntu	0.869+git20240321-0ubuntu1
fonts-urw-base35	20200910-8
foomatic-db-compressed-ppds	20230202-1
foomatic-filters	4.0.17-16
fprintd	1.94.3-1
fuse3	3.14.0-5build1
fwupd	1.9.34-0ubuntu1~24.04.1
fwupd-signed	1.52+1.4-1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04.1
g++-13-aarch64-linux-gnu	13.3.0-6ubuntu2~24.04.1
g++-aarch64-linux-gnu	4:13.2.0-7ubuntu1
gamemode	1.8.1-2build1
gamemode-daemon	1.8.1-2build1
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-aarch64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gcc-13-base:arm64	13.3.0-6ubuntu2~24.04.1
gcc-14-base:arm64	14.2.0-4ubuntu2~24.04.1
gcc-aarch64-linux-gnu	4:13.2.0-7ubuntu1
gcr	3.41.2-1build3
gcr4	4.2.0-5
gdal-data	3.8.4+dfsg-3ubuntu3
gdal-plugins:arm64	3.8.4+dfsg-3ubuntu3
gdb	15.1-1ubuntu1~24.04.1
gdbserver	15.1-1ubuntu1~24.04.1
gdisk	1.0.10-1build1
gdm3	46.2-1ubuntu1~24.04.9
geoclue-2.0	2.7.0-3ubuntu7
geocode-glib-common	3.26.3-6build3
gettext-base	0.21-14ubuntu2
ghostscript	10.02.1~dfsg1-0ubuntu7.8
gir1.2-accountsservice-1.0:arm64	23.13.9-2ubuntu6
gir1.2-adw-1:arm64	1.5.0-1ubuntu2
gir1.2-appindicator3-0.1	12.10.1+20.10.20200706.1-0ubuntu5
gir1.2-atk-1.0:arm64	2.52.0-1build1
gir1.2-atspi-2.0:arm64	2.52.0-1build1
gir1.2-freedesktop:arm64	1.80.1-1
gir1.2-gck-2:arm64	4.2.0-5
gir1.2-gcr-4:arm64	4.2.0-5
gir1.2-gdesktopenums-3.0:arm64	46.1-0ubuntu1
gir1.2-gdkpixbuf-2.0:arm64	2.42.10+dfsg-3ubuntu3.3
gir1.2-gdm-1.0	46.2-1ubuntu1~24.04.9
gir1.2-geoclue-2.0:arm64	2.7.0-3ubuntu7
gir1.2-girepository-2.0:arm64	1.80.1-1
gir1.2-glib-2.0:arm64	2.80.0-6ubuntu3.8
gir1.2-gmenu-3.0:arm64	3.36.0-1.1ubuntu3
gir1.2-gnomeautoar-0.1:arm64	0.4.4-2build4
gir1.2-gnomebg-4.0:arm64	44.0-5build2
gir1.2-gnomebluetooth-3.0:arm64	46.0-1ubuntu1
gir1.2-gnomedesktop-3.0:arm64	44.0-5build2
gir1.2-gnomedesktop-4.0:arm64	44.0-5build2
gir1.2-graphene-1.0:arm64	1.10.8-3build2
gir1.2-gst-plugins-bad-1.0:arm64	1.24.2-1ubuntu4
gir1.2-gst-plugins-base-1.0:arm64	1.24.2-1ubuntu0.4
gir1.2-gstreamer-1.0:arm64	1.24.2-1ubuntu0.1
gir1.2-gtk-3.0:arm64	3.24.41-4ubuntu1.3
gir1.2-gtk-4.0:arm64	4.14.5+ds-0ubuntu0.10
gir1.2-gudev-1.0:arm64	1:238-5ubuntu1
gir1.2-gweather-4.0:arm64	4.4.2-1build1
gir1.2-handy-1:arm64	1.8.3-1build2
gir1.2-harfbuzz-0.0:arm64	8.3.0-2build2
gir1.2-ibus-1.0:arm64	1.5.29-2
gir1.2-javascriptcoregtk-4.1:arm64	2.52.3-0ubuntu0.24.04.1
gir1.2-javascriptcoregtk-6.0:arm64	2.52.3-0ubuntu0.24.04.1
gir1.2-json-1.0:arm64	1.8.0-2build2
gir1.2-mutter-14:arm64	46.2-1ubuntu0.24.04.16
gir1.2-nm-1.0:arm64	1.46.0-1ubuntu2.7
gir1.2-nma-1.0:arm64	1.10.6-3build2
gir1.2-nma4-1.0:arm64	1.10.6-3build2
gir1.2-notify-0.7:arm64	0.8.3-1build2
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.5
gir1.2-pango-1.0:arm64	1.52.1+ds-1build1
gir1.2-peas-1.0:arm64	1.36.0-3build4
gir1.2-polkit-1.0	124-2ubuntu1.24.04.3
gir1.2-rb-3.0:arm64	3.4.7-2ubuntu6
gir1.2-rsvg-2.0:arm64	2.58.0+dfsg-1build1
gir1.2-secret-1:arm64	0.21.4-1build3
gir1.2-snapd-2:arm64	1.64-0ubuntu5
gir1.2-soup-3.0:arm64	3.4.4-5ubuntu0.7
gir1.2-timezonemap-1.0:arm64	0.4.6-6ubuntu1
gir1.2-totem-1.0:arm64	43.0-2ubuntu4
gir1.2-totemplparser-1.0:arm64	3.26.6-1build5
gir1.2-upowerglib-1.0:arm64	1.90.3-1
gir1.2-vte-2.91:arm64	0.76.0-1ubuntu0.1
gir1.2-webkit-6.0:arm64	2.52.3-0ubuntu0.24.04.1
gir1.2-webkit2-4.1:arm64	2.52.3-0ubuntu0.24.04.1
gir1.2-wnck-3.0:arm64	43.0-3build4
gir1.2-xkl-1.0:arm64	5.4-5build2
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gjs	1.80.2-1build2
gkbd-capplet	3.28.1-1build3
glib-networking:arm64	2.80.0-1build1
glib-networking-common	2.80.0-1build1
glib-networking-services	2.80.0-1build1
glibc-tools	0.0~git3.23fd2b9-0ubuntu1
gnome-accessibility-themes	3.28-2ubuntu5
gnome-bluetooth-3-common	46.0-1ubuntu1
gnome-bluetooth-sendto	46.0-1ubuntu1
gnome-calculator	1:46.3-0ubuntu0.1
gnome-calendar	46.1-0ubuntu2
gnome-characters	46.0-1build1
gnome-clocks	46.0-1build1
gnome-control-center	1:46.7-0ubuntu0.24.04.4
gnome-control-center-data	1:46.7-0ubuntu0.24.04.4
gnome-control-center-faces	1:46.7-0ubuntu0.24.04.4
gnome-desktop3-data	44.0-5build2
gnome-disk-utility	46.0-1ubuntu3
gnome-font-viewer	46.0-1build1
gnome-initial-setup	46.3-1ubuntu3~24.04.2
gnome-keyring	46.1-2ubuntu0.2
gnome-keyring-pkcs11:arm64	46.1-2ubuntu0.2
gnome-logs	45.0-1build1
gnome-menus	3.36.0-1.1ubuntu3
gnome-online-accounts	3.50.4-0ubuntu2
gnome-power-manager	43.0-2build2
gnome-remote-desktop	46.3-0ubuntu1.2
gnome-screenshot	41.0-2build2
gnome-session-bin	46.0-1ubuntu4
gnome-session-canberra	0.30-10ubuntu10
gnome-session-common	46.0-1ubuntu4
gnome-settings-daemon	46.0-1ubuntu1.24.04.1
gnome-settings-daemon-common	46.0-1ubuntu1.24.04.1
gnome-shell	46.0-0ubuntu6~24.04.14
gnome-shell-common	46.0-0ubuntu6~24.04.14
gnome-shell-extension-appindicator	58-1ubuntu24.04.1
gnome-shell-extension-desktop-icons-ng	46+really47.0.9-1ubuntu5
gnome-shell-extension-ubuntu-dock	90ubuntu3
gnome-shell-extension-ubuntu-tiling-assistant	46-1ubuntu1.1
gnome-snapshot	46.2-1ubuntu2
gnome-software	46.0-1ubuntu2
gnome-software-common	46.0-1ubuntu2
gnome-software-plugin-snap	46.0-1ubuntu2
gnome-startup-applications	46.0-1ubuntu4
gnome-system-monitor	46.0-1build1
gnome-terminal	3.52.0-1ubuntu2
gnome-terminal-data	3.52.0-1ubuntu2
gnome-text-editor	46.3-0ubuntu2
gnome-themes-extra:arm64	3.28-2ubuntu5
gnome-themes-extra-data	3.28-2ubuntu5
gnome-user-docs	46.0-1ubuntu1
gnupg	2.4.4-2ubuntu17.4
gnupg-utils	2.4.4-2ubuntu17.4
gnupg2	2.4.4-2ubuntu17.4
gpg	2.4.4-2ubuntu17.4
gpg-agent	2.4.4-2ubuntu17.4
gpg-wks-client	2.4.4-2ubuntu17.4
gpgconf	2.4.4-2ubuntu17.4
gpgsm	2.4.4-2ubuntu17.4
gpgv	2.4.4-2ubuntu17.4
gpiod	1.6.3-1.1build1
grep	3.11-4build1
grilo-plugins-0.3-base:arm64	0.3.16-1.1ubuntu6.1~24.04.1
groff-base	1.23.0-3build2
grub-common	2.12-1ubuntu7.3
gsettings-desktop-schemas	46.1-0ubuntu1
gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu3
gstreamer1.0-alsa:arm64	1.24.2-1ubuntu0.4
gstreamer1.0-gl:arm64	1.24.2-1ubuntu0.4
gstreamer1.0-gtk3:arm64	1.24.2-1ubuntu1.4
gstreamer1.0-libcamera:arm64	0.2.0-3fakesync1build6
gstreamer1.0-packagekit	1.2.8-2ubuntu1.5
gstreamer1.0-pipewire:arm64	1.0.5-1ubuntu3.2
gstreamer1.0-plugins-bad:arm64	1.24.2-1ubuntu4
gstreamer1.0-plugins-base:arm64	1.24.2-1ubuntu0.4
gstreamer1.0-plugins-base-apps	1.24.2-1ubuntu0.4
gstreamer1.0-plugins-good:arm64	1.24.2-1ubuntu1.4
gstreamer1.0-plugins-ugly:arm64	1.24.1-1build1
gstreamer1.0-tools	1.24.2-1ubuntu0.1
gstreamer1.0-x:arm64	1.24.2-1ubuntu0.4
gtk-update-icon-cache	3.24.41-4ubuntu1.3
gtk2-engines-murrine:arm64	0.98.2-4
gtk2-engines-pixbuf:arm64	2.24.33-4ubuntu1.1
gvfs:arm64	1.54.4-0ubuntu1~24.04.2
gvfs-backends	1.54.4-0ubuntu1~24.04.2
gvfs-common	1.54.4-0ubuntu1~24.04.2
gvfs-daemons	1.54.4-0ubuntu1~24.04.2
gvfs-fuse	1.54.4-0ubuntu1~24.04.2
gvfs-libs:arm64	1.54.4-0ubuntu1~24.04.2
gzip	1.12-1ubuntu3.2
haveged	1.9.14-1ubuntu2
heif-gdk-pixbuf:arm64	1.17.6-1ubuntu4.5
heif-thumbnailer	1.17.6-1ubuntu4.5
hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2
humanity-icon-theme	0.6.16
hunspell-en-us	1:2020.12.07-2
i2c-tools	4.3-4build2
ibus	1.5.29-2
ibus-data	1.5.29-2
ibus-gtk:arm64	1.5.29-2
ibus-gtk3:arm64	1.5.29-2
ibus-gtk4:arm64	1.5.29-2
ibus-table	1.17.4-2
ibverbs-providers:arm64	50.0-2ubuntu0.2
icu-devtools	74.2-1ubuntu3.1
iio-sensor-proxy	3.5-1build2
im-config	0.57-2
init-system-helpers	1.66ubuntu1
initramfs-tools	0.142ubuntu25.8
initramfs-tools-bin	0.142ubuntu25.8
initramfs-tools-core	0.142ubuntu25.8
inputattach	1:1.8.1-2build1
iperf3	3.16-1build2
ipp-usb	0.9.24-0ubuntu3.3
iproute2	6.1.0-1ubuntu6.4
iptables	1.8.10-3ubuntu2
iputils-ping	3:20240117-1ubuntu0.1
isc-dhcp-client	4.4.3-P1-4ubuntu2
isc-dhcp-server	4.4.3-P1-4ubuntu2
iso-codes	4.16.0-1
iw	6.7-1build1
jetson-gpio-common	2.1.13-0ubuntu1
jq	1.7.1-3ubuntu0.24.04.2
kbd	2.6.4-2ubuntu2
kerneloops	0.12+git20140509-6ubuntu8
kexec-tools	1:2.0.28-0ubuntu3
keyboard-configuration	1.226ubuntu1
keyboxd	2.4.4-2ubuntu17.4
klibc-utils	2.0.13-4ubuntu0.2
kmod	31+20240202-2ubuntu7.2
language-pack-en	1:24.04+20260127
language-pack-en-base	1:24.04+20260127
language-selector-common	0.225
language-selector-gnome	0.225
laptop-detect	0.16
ldap-utils	2.6.10+dfsg-0ubuntu0.24.04.1
less	590-2ubuntu2.1
liba52-0.7.4:arm64	0.7.4-20build1
libaa1:arm64	1.4p5-51.1
libabsl20220623t64:arm64	20220623.1-3.1ubuntu3.2
libabw-0.1-1:arm64	0.1.3-1build4
libaccountsservice0:arm64	23.13.9-2ubuntu6
libacl1:arm64	2.3.2-1build1.1
libadwaita-1-0:arm64	1.5.0-1ubuntu2
libaec0:arm64	1.1.2-1build1
libao-common	1.2.2+20180113-1.1ubuntu4
libao4:arm64	1.2.2+20180113-1.1ubuntu4
libaom3:arm64	3.8.2-2ubuntu0.1
libapparmor1:arm64	4.0.1really4.0.1-0ubuntu0.24.04.7
libappstream5:arm64	1.0.2-1build6
libapt-pkg6.0t64:arm64	2.8.3
libarchive13t64:arm64	3.7.2-2ubuntu0.7
libargon2-1:arm64	0~20190702+dfsg-4build1
libarmadillo12	1:12.6.7+dfsg-1build2
libarpack2t64:arm64	3.9.1-1.1build2
libasan8:arm64	14.2.0-4ubuntu2~24.04.1
libasound2-data	1.2.11-1ubuntu0.2
libasound2-dev:arm64	1.2.11-1ubuntu0.2
libasound2t64:arm64	1.2.11-1ubuntu0.2
libaspell15:arm64	0.60.8.1-1build1
libass9:arm64	1:0.17.1-2build1
libassuan0:arm64	2.5.6-1build1
libasyncns0:arm64	0.8-6build4
libatasmart4:arm64	0.19-5build3
libatk-adaptor:arm64	2.52.0-1build1
libatk-bridge2.0-0t64:arm64	2.52.0-1build1
libatk1.0-0t64:arm64	2.52.0-1build1
libatomic1:arm64	14.2.0-4ubuntu2~24.04.1
libatopology2t64:arm64	1.2.11-1ubuntu0.2
libatspi2.0-0t64:arm64	2.52.0-1build1
libattr1:arm64	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:arm64	1:3.1.2-2.1build1.1
libauparse0t64:arm64	1:3.1.2-2.1build1.1
libauthen-sasl-perl	2.1700-1
libavahi-client3:arm64	0.8-13ubuntu6.2
libavahi-common-data:arm64	0.8-13ubuntu6.2
libavahi-common3:arm64	0.8-13ubuntu6.2
libavahi-core7:arm64	0.8-13ubuntu6.2
libavahi-glib1:arm64	0.8-13ubuntu6.2
libavahi-ui-gtk3-0:arm64	0.8-13ubuntu6.2
libavc1394-0:arm64	0.5.4-5build3
libavtp0:arm64	0.2.0-1build1
libayatana-appindicator3-1	0.5.93-1build3
libayatana-ido3-0.4-0:arm64	0.10.1-1build2
libayatana-indicator3-7:arm64	0.9.4-1build1
libbabeltrace1:arm64	1.5.11-3build3
libbasicobjects0t64:arm64	0.6.2-2.1build1
libbfb0t64:arm64	0.24-9.1build2
libbinutils:arm64	2.42-4ubuntu2.10
libblas3:arm64	3.12.0-3build1.1
libblkid-dev:arm64	2.39.3-9ubuntu6.5
libblkid1:arm64	2.39.3-9ubuntu6.5
libblockdev-crypto3:arm64	3.1.1-1ubuntu0.1
libblockdev-fs3:arm64	3.1.1-1ubuntu0.1
libblockdev-loop3:arm64	3.1.1-1ubuntu0.1
libblockdev-mdraid3:arm64	3.1.1-1ubuntu0.1
libblockdev-nvme3:arm64	3.1.1-1ubuntu0.1
libblockdev-part3:arm64	3.1.1-1ubuntu0.1
libblockdev-swap3:arm64	3.1.1-1ubuntu0.1
libblockdev-utils3:arm64	3.1.1-1ubuntu0.1
libblockdev3:arm64	3.1.1-1ubuntu0.1
libblosc1:arm64	1.21.5+ds-1build1
libbluetooth3:arm64	5.72-0ubuntu5.5
libbluray2:arm64	1:1.3.4-1build1
libboost-atomic1.83.0:arm64	1.83.0-2.1ubuntu3.2
libboost-chrono1.83.0t64:arm64	1.83.0-2.1ubuntu3.2
libboost-date-time1.83.0:arm64	1.83.0-2.1ubuntu3.2
libboost-filesystem1.83.0:arm64	1.83.0-2.1ubuntu3.2
libboost-iostreams1.83.0:arm64	1.83.0-2.1ubuntu3.2
libboost-locale1.83.0:arm64	1.83.0-2.1ubuntu3.2
libboost-log1.83.0	1.83.0-2.1ubuntu3.2
libboost-regex1.83.0:arm64	1.83.0-2.1ubuntu3.2
libboost-system1.83.0:arm64	1.83.0-2.1ubuntu3.2
libboost-thread1.83.0:arm64	1.83.0-2.1ubuntu3.2
libbpf1:arm64	1:1.3.0-2build2
libbrlapi0.8:arm64	6.6-4ubuntu5
libbrotli1:arm64	1.1.0-2build2
libbs2b0:arm64	3.1.0+dfsg-7build1
libbsd0:arm64	0.12.1-1build1.1
libbytesize-common	2.10-1ubuntu2
libbytesize1:arm64	2.10-1ubuntu2
libbz2-1.0:arm64	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.7
libc-dev-bin	2.39-0ubuntu8.7
libc-devtools	2.39-0ubuntu8.7
libc6:arm64	2.39-0ubuntu8.7
libc6-arm64-cross	2.39-0ubuntu8cross1
libc6-dbg:arm64	2.39-0ubuntu8.7
libc6-dev:arm64	2.39-0ubuntu8.7
libcaca0:arm64	0.99.beta20-4ubuntu0.2
libcairo-gobject-perl	1.005-4build3
libcairo-gobject2:arm64	1.18.0-3build1
libcairo-perl	1.109-4build1
libcairo-script-interpreter2:arm64	1.18.0-3build1
libcairo2:arm64	1.18.0-3build1
libcairomm-1.16-1:arm64	1.18.0-1build1
libcamel-1.2-64t64:arm64	3.52.3-0ubuntu1.2
libcamera0.2:arm64	0.2.0-3fakesync1build6
libcanberra-gtk3-0t64:arm64	0.30-10ubuntu10
libcanberra-gtk3-module:arm64	0.30-10ubuntu10
libcanberra-pulse:arm64	0.30-10ubuntu10
libcanberra0t64:arm64	0.30-10ubuntu10
libcap-ng0:arm64	0.8.4-2build2
libcap2:arm64	1:2.66-5ubuntu2.4
libcap2-bin	1:2.66-5ubuntu2.4
libcares2:arm64	1.27.0-1.0ubuntu1
libcbor0.10:arm64	0.10.2-1.2ubuntu2
libcc1-0:arm64	14.2.0-4ubuntu2~24.04.1
libcdio-cdda2t64:arm64	10.2+2.0.1-1.1build2
libcdio-paranoia2t64:arm64	10.2+2.0.1-1.1build2
libcdio19t64:arm64	2.1.0-4.1ubuntu1.2
libcdparanoia0:arm64	3.10.2+debian-14build3
libcdr-0.1-1:arm64	0.1.7-1build2
libcfitsio10t64:arm64	4.3.1-1.1build2
libcharls2:arm64	2.4.2-2build2
libchromaprint1:arm64	1.5.1-5
libcjson1:arm64	1.7.17-1
libclone-perl:arm64	0.46-1build3
libclucene-contribs1t64:arm64	2.3.3.4+dfsg-1.2ubuntu2
libclucene-core1t64:arm64	2.3.3.4+dfsg-1.2ubuntu2
libcodec2-1.2:arm64	1.2.0-2build1
libcolamd3:arm64	1:7.6.1+dfsg-1build1
libcollection4t64:arm64	0.6.2-2.1build1
libcolord-gtk4-1t64:arm64	0.3.1-1build2
libcolord2:arm64	1.4.7-1build2
libcolorhug2:arm64	1.4.7-1build2
libcom-err2:arm64	1.47.0-2.4~exp1ubuntu4.1
libcrack2:arm64	2.9.6-5.1build2
libcrypt-dev:arm64	1:4.4.36-4build1
libcrypt1:arm64	1:4.4.36-4build1
libcryptsetup12:arm64	2:2.7.0-1ubuntu4.2
libctf-nobfd0:arm64	2.42-4ubuntu2.10
libctf0:arm64	2.42-4ubuntu2.10
libcublas-13-2	13.4.1.3-1
libcue2:arm64	2.2.1-4.1build1
libcufft-13-2	12.2.0.57-1
libcups2t64:arm64	2.4.7-1.2ubuntu7.14
libcupsfilters2-common	2.0.0-0ubuntu7.2
libcupsfilters2t64:arm64	2.0.0-0ubuntu7.2
libcurand-13-2	10.4.2.66-1
libcurand-dev-13-2	10.4.2.66-1
libcurl3t64-gnutls:arm64	8.5.0-2ubuntu10.11
libcurl4t64:arm64	8.5.0-2ubuntu10.11
libcusolver-13-2	12.2.0.11-1
libcusparse-13-2	12.7.10.12-1
libdaemon0:arm64	0.14-7.1ubuntu4
libdata-dump-perl	1.25-1
libdatrie1:arm64	0.2.13-3build1
libdav1d7:arm64	1.4.1-1build1
libdb5.3t64:arm64	5.3.28+dfsg2-7
libdbus-1-3:arm64	1.14.10-4ubuntu4.1
libdbus-glib-1-2:arm64	0.112-3build2
libdbusmenu-glib4:arm64	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdbusmenu-gtk3-4:arm64	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdc1394-25:arm64	2.2.6-4build1
libdc1394-dev:arm64	2.2.6-4build1
libdca0:arm64	0.0.7-2build1
libdconf1:arm64	0.40.0-4ubuntu0.1
libde265-0:arm64	1.0.15-1build3
libdebconfclient0:arm64	0.271ubuntu3
libdebian-installer4:arm64	0.124ubuntu2
libdebuginfod-common	0.190-1.1ubuntu0.1
libdebuginfod1t64:arm64	0.190-1.1ubuntu0.1
libdecor-0-0:arm64	0.2.2-1build2
libdee-1.0-4:arm64	1.2.7+17.10.20170616-7build5
libdeflate-dev:arm64	1.19-1build1.1
libdeflate0:arm64	1.19-1build1.1
libdevmapper1.02.1:arm64	2:1.02.185-3ubuntu3.2
libdhash1t64:arm64	0.6.2-2.1build1
libdirectfb-1.7-7t64:arm64	1.7.7-11.1ubuntu2
libdjvulibre-text	3.5.28-2ubuntu0.24.04.2
libdjvulibre21:arm64	3.5.28-2ubuntu0.24.04.2
libdmapsharing-4.0-3t64:arm64	3.9.13-2build1
libdotconf0:arm64	1.3-0.3fakesync1build3
libdouble-conversion3:arm64	3.3.0-1build1
libdpkg-perl	1.22.6ubuntu6.6
libdrm-amdgpu1:arm64	2.4.125-1ubuntu0.1~24.04.2
libdrm-common	2.4.125-1ubuntu0.1~24.04.2
libdrm-dev:arm64	2.4.125-1ubuntu0.1~24.04.2
libdrm-etnaviv1:arm64	2.4.125-1ubuntu0.1~24.04.2
libdrm-freedreno1:arm64	2.4.125-1ubuntu0.1~24.04.2
libdrm-nouveau2:arm64	2.4.125-1ubuntu0.1~24.04.2
